names,asin_,average_rating_3.28,average_rating_3.48,average_rating_3.65,average_rating_3.75,average_rating_3.80,average_rating_3.84,average_rating_3.93,average_rating_3.94,average_rating_3.95,average_rating_3.99,average_rating_4.03,average_rating_4.05,average_rating_4.07,average_rating_4.08,average_rating_4.09,average_rating_4.10,average_rating_4.11,average_rating_4.16,average_rating_4.17,average_rating_4.20,average_rating_4.21,average_rating_4.22,average_rating_4.23,average_rating_4.26,average_rating_4.28,average_rating_4.31,average_rating_4.34,average_rating_4.35,average_rating_4.37,average_rating_4.42,average_rating_4.52,book_id_11628,book_id_1190575,book_id_119842,book_id_130810,book_id_13330670,book_id_13429607,book_id_139786,book_id_150229,book_id_17934531,book_id_220061,book_id_220062,book_id_220063,book_id_250398,book_id_2545,book_id_2547,book_id_26114416,book_id_2696,book_id_29092771,book_id_29934,book_id_29936,book_id_391965,book_id_393726,book_id_430788,book_id_44997,book_id_46199,book_id_494214,book_id_50680,book_id_6469249,book_id_6487364,book_id_65343,book_id_71652,book_id_724371,book_id_732562,book_id_7647285,book_id_8431208,book_id_853926,book_id_87311,book_id_906943,book_id_978917,country_code_US,edition_information_,format_,format_Hardcover,format_Paperback,format_ebook,is_ebook_false,is_ebook_true,isbn13_9780001000391,isbn13_9780060099138,isbn13_9780060955298,isbn13_9780061349607,isbn13_9780061923821,isbn13_9780140424386,isbn13_9780156724005,isbn13_9780192723710,isbn13_9780307272232,isbn13_9780312143572,isbn13_9780374119027,isbn13_9780375707353,isbn13_9780375709982,isbn13_9780375710766,isbn13_9780375712258,isbn13_9780393065428,isbn13_9780393079678,isbn13_9780393311631,isbn13_9780393319729,isbn13_9780451493286,isbn13_9780486223056,isbn13_9780486422459,isbn13_9780547571607,isbn13_9780679740582,isbn13_9780679750802,isbn13_9780679765844,isbn13_9780684814506,isbn13_9780743257596,isbn13_9780805048216,isbn13_9780811816496,isbn13_9780819510136,isbn13_9780819511645,isbn13_9780865478206,isbn13_9780890093894,isbn13_9780912946474,isbn13_9780918526533,isbn13_9780918526830,isbn13_9780977769841,isbn13_9781929918089,isbn_000100039X,isbn_0060099135,isbn_0060955295,isbn_0061349607,isbn_0061923826,isbn_0140424385,isbn_0156724006,isbn_0192723715,isbn_0307272230,isbn_0312143575,isbn_0374119023,isbn_0375707352,isbn_0375709983,isbn_0375710760,isbn_0375712259,isbn_0393065421,isbn_0393079678,isbn_0393311635,isbn_0393319725,isbn_0451493281,isbn_0486223051,isbn_0486422453,isbn_0547571607,isbn_0679740589,isbn_0679750800,isbn_0679765840,isbn_0684814501,isbn_0743257596,isbn_0805048219,isbn_0811816494,isbn_0819510130,isbn_0819511641,isbn_0865478201,isbn_089009389X,isbn_0912946474,isbn_0918526531,isbn_0918526833,isbn_0977769844,isbn_1929918089,kindle_asin_,kindle_asin_B000W9140E,kindle_asin_B0011UGM3C,kindle_asin_B001D1UOWE,kindle_asin_B001PSEQPQ,kindle_asin_B0030P1W4K,kindle_asin_B003AYZB8E,kindle_asin_B003WJRE0A,kindle_asin_B004FEG2TK,kindle_asin_B004TQADQM,kindle_asin_B00519B7N4,kindle_asin_B005IEH876,kindle_asin_B005IEH8GW,kindle_asin_B0065YE7MW,kindle_asin_B006R8PL4E,kindle_asin_B006SB4W9A,kindle_asin_B007714BBE,kindle_asin_B009DNQSM4,kindle_asin_B00A3IKMN4,kindle_asin_B00A5MREJS,kindle_asin_B00GL9STWU,kindle_asin_B00GW5FGQ0,kindle_asin_B00GW5FGS8,kindle_asin_B00KK3SZF4,kindle_asin_B00MP21OSS,kindle_asin_B00V7RJ9QQ,kindle_asin_B01828AO3O,kindle_asin_B018HCIHXY,kindle_asin_B01AVKWG46,kindle_asin_B01KT1845W,kindle_asin_B01MEFXIST,kindle_asin_B06XDHQFVY,language_code_,language_code_en-US,language_code_eng,num_pages_,num_pages_112,num_pages_123,num_pages_125,num_pages_127,num_pages_128,num_pages_130,num_pages_208,num_pages_224,num_pages_240,num_pages_256,num_pages_336,num_pages_40,num_pages_504,num_pages_512,num_pages_64,num_pages_70,num_pages_71,num_pages_72,num_pages_77,num_pages_80,num_pages_83,num_pages_84,num_pages_86,num_pages_89,num_pages_94,num_pages_96,publication_day_,publication_day_1,publication_day_15,publication_day_16,publication_day_17,publication_day_18,publication_day_19,publication_day_20,publication_day_21,publication_day_28,publication_day_3,publication_day_30,publication_day_4,publication_day_5,publication_day_6,publication_day_8,publication_day_9,publication_month_,publication_month_1,publication_month_10,publication_month_11,publication_month_12,publication_month_2,publication_month_3,publication_month_4,publication_month_5,publication_month_6,publication_month_8,publication_month_9,publication_year_,publication_year_1970,publication_year_1977,publication_year_1978,publication_year_1988,publication_year_1990,publication_year_1992,publication_year_1993,publication_year_1994,publication_year_1996,publication_year_1997,publication_year_1998,publication_year_1999,publication_year_2000,publication_year_2001,publication_year_2002,publication_year_2003,publication_year_2004,publication_year_2006,publication_year_2007,publication_year_2008,publication_year_2009,publication_year_2010,publication_year_2011,publication_year_2012,publication_year_2014,publication_year_2016,publisher_,publisher_Alfred A. Knopf,publisher_BOA Editions Ltd.,publisher_Chronicle Books (CA),publisher_Dover Publications,publisher_Ecco,publisher_Ecco Press,"publisher_Farrar, Straus and Giroux",publisher_Harper Perennial,publisher_Henry Holt and Co. (BYR),publisher_Houghton Mifflin Harcourt,publisher_Knopf,publisher_Mariner Books,publisher_Oxford University Press,publisher_Penguin Classics,publisher_Rupa & Co,publisher_Scribner,publisher_Slope Editions,publisher_St. Martin's Griffin,publisher_Vintage,publisher_W. W. Norton  Company,publisher_W. W. Norton & Company,publisher_Wesleyan,ratings_count_1037,ratings_count_1319,ratings_count_145579,ratings_count_150099,ratings_count_15173,ratings_count_1605,ratings_count_166,ratings_count_1875,ratings_count_1957,ratings_count_197,ratings_count_1975,ratings_count_2284,ratings_count_2352,ratings_count_246,ratings_count_25895,ratings_count_29,ratings_count_2939,ratings_count_296,ratings_count_303,ratings_count_337,ratings_count_338,ratings_count_3601,ratings_count_38383,ratings_count_459,ratings_count_53,ratings_count_573,ratings_count_588,ratings_count_594,ratings_count_62,ratings_count_6304,ratings_count_673,ratings_count_682,ratings_count_717,ratings_count_76,ratings_count_7639,ratings_count_785,ratings_count_794,ratings_count_956,text_reviews_count_107,text_reviews_count_116,text_reviews_count_12,text_reviews_count_122,text_reviews_count_145,text_reviews_count_1475,text_reviews_count_150,text_reviews_count_151,text_reviews_count_18,text_reviews_count_182,text_reviews_count_20,text_reviews_count_2071,text_reviews_count_21,text_reviews_count_24,text_reviews_count_25,text_reviews_count_251,text_reviews_count_27,text_reviews_count_30,text_reviews_count_31,text_reviews_count_312,text_reviews_count_34,text_reviews_count_35,text_reviews_count_4,text_reviews_count_40,text_reviews_count_41,text_reviews_count_4280,text_reviews_count_44,text_reviews_count_47,text_reviews_count_49,text_reviews_count_53,text_reviews_count_576,text_reviews_count_68,text_reviews_count_71,text_reviews_count_72,text_reviews_count_86,text_reviews_count_92,title_A Poetry Handbook,title_Anamnesis,title_Behind My Eyes [With CD],"title_Blood, Tin, Straw",title_Blue Hour,title_Book of My Nights,title_Caribou: Poems,title_Dien Cai Dau,title_Diving Into the Wreck,title_Earth-Shattering Poems,title_Goblin Market,title_Holocaust Poetry,"title_Johnny Panic and the Bible of Dreams: Short Stories, Prose and Diary Excerpts",title_Letters to a Young Poet,title_News of the World,title_Rose,title_Selected Poems,title_Some Trees,title_Stag's Leap: Poems,"title_Strike Sparks: Selected Poems, 1980-2002",title_The Apple Trees at Olema: New and Selected Poems,title_The Best American Poetry 1998,title_The Best American Poetry 2006,title_The Canterbury Tales,title_The City in Which I Love You,title_The Collected Poems,title_The Hatred of Poetry,title_The Lady of Shalott,title_The Last Shift: Poems,title_The Prophet,title_The Rime of the Ancient Mariner,title_The Simple Truth,title_The Tennis Court Oath,title_The Treasured Writings of Kahlil Gibran,title_The Unswept Room,title_Thrall,title_Time and Materials,title_Tonight No Poetry Will Serve,title_What Work Is,title_without_series_A Poetry Handbook,title_without_series_Anamnesis,title_without_series_Behind My Eyes [With CD],"title_without_series_Blood, Tin, Straw",title_without_series_Blue Hour,title_without_series_Book of My Nights,title_without_series_Caribou: Poems,title_without_series_Dien Cai Dau,title_without_series_Diving Into the Wreck,title_without_series_Earth-Shattering Poems,title_without_series_Goblin Market,title_without_series_Holocaust Poetry,"title_without_series_Johnny Panic and the Bible of Dreams: Short Stories, Prose and Diary Excerpts",title_without_series_Letters to a Young Poet,title_without_series_News of the World,title_without_series_Rose,title_without_series_Selected Poems,title_without_series_Some Trees,title_without_series_Stag's Leap: Poems,"title_without_series_Strike Sparks: Selected Poems, 1980-2002",title_without_series_The Apple Trees at Olema: New and Selected Poems,title_without_series_The Best American Poetry 1998,title_without_series_The Best American Poetry 2006,title_without_series_The Canterbury Tales,title_without_series_The City in Which I Love You,title_without_series_The Collected Poems,title_without_series_The Hatred of Poetry,title_without_series_The Lady of Shalott,title_without_series_The Last Shift: Poems,title_without_series_The Prophet,title_without_series_The Rime of the Ancient Mariner,title_without_series_The Simple Truth,title_without_series_The Tennis Court Oath,title_without_series_The Treasured Writings of Kahlil Gibran,title_without_series_The Unswept Room,title_without_series_Thrall,title_without_series_Time and Materials,title_without_series_Tonight No Poetry Will Serve,title_without_series_What Work Is,work_id_10195889,work_id_1026788,work_id_115384,work_id_1208289,work_id_125993,work_id_13294582,work_id_134751,work_id_144997,work_id_18538324,work_id_18920329,work_id_2015211,work_id_213075,work_id_213076,work_id_213077,work_id_25142397,work_id_2938937,work_id_30353,work_id_381567,work_id_383285,work_id_46061288,work_id_4671244,work_id_482373,work_id_49328351,work_id_49494,work_id_63392,work_id_6518,work_id_6659836,work_id_6678726,work_id_678243,work_id_6826818,work_id_6848117,work_id_69386,work_id_839424,work_id_84276,work_id_886691,work_id_892085,work_id_940152,work_id_963805,work_id_986234
6469249,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,,X,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
6487364,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
65343,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
71652,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,X,,,X,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
724371,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,X,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732562,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
7647285,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,X,X,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8431208,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,X,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853926,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,X,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
87311,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,X,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
906943,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,X,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
978917,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
R = X = {},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
